time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-01T21:42:01.400Z,41.7352,-108.7078,0,3.1,ml,16,91,0.913,0.29,us,us6000k1em,2023-06-03T22:06:02.040Z,"8 km NE of Point of Rocks, Wyoming",mining explosion,2.23,1.613,0.039,86,reviewed,us,us
2023-03-30T21:16:50.725Z,43.5911,-105.3676,0,2.5,ml,17,120,1.099,0.46,us,us6000k1ym,2023-06-03T22:06:02.040Z,"20 km SSE of Wright, Wyoming",mining explosion,3.53,1.753,0.069,28,reviewed,us,us
2023-03-30T21:11:51.259Z,43.9778,-105.3938,0,2.9,ml,17,93,0.99,1.12,us,us6000k0z9,2023-06-03T22:06:02.040Z,"",mining explosion,3.03,1.639,0.052,48,reviewed,us,us
2023-03-29T20:58:57.743Z,40.6899,-109.5031,0,3.2,ml,39,48,0.807,0.48,us,us6000k0r5,2023-06-03T22:06:02.040Z,"24 km NNE of Maeser, Utah",mining explosion,2.61,1.714,0.033,118,reviewed,us,us
2023-03-28T22:57:24.291Z,43.7329,-105.3339,0,2.6,ml,16,120,1.015,0.5,us,us6000k0g5,2023-06-03T22:06:01.040Z,"12 km E of Wright, Wyoming",mining explosion,8.69,1.794,0.069,28,reviewed,us,us
2023-03-25T19:08:47.390Z,43.6266,-105.2505,0,3,ml,20,98,1.008,0.34,us,us7000jmqa,2023-05-26T21:54:20.040Z,"23 km SE of Wright, Wyoming",mining explosion,4.63,1.706,0.066,30,reviewed,us,us
2023-03-25T17:57:31.411Z,43.7836,-105.3015,0,3.4,ml,35,60,0.974,0.52,us,us7000jmq4,2023-05-26T21:54:20.040Z,"Wyoming",mining explosion,2.56,1.748,0.043,72,reviewed,us,us
2023-03-24T20:04:32.817Z,43.8586,-105.2494,0,3.1,ml,28,61,0.914,0.49,us,us7000jmk6,2023-05-26T21:54:18.040Z,"22 km ENE of Wright, Wyoming",mining explosion,5.8,1.764,0.048,58,reviewed,us,us
2023-03-24T17:17:29.791Z,47.5721,-92.6415,0,2.6,ml,12,80,0.859,0.97,us,us7000jmj7,2023-05-26T21:54:18.040Z,"4 km NNW of Mountain Iron, Minnesota",mining explosion,2.46,1.887,0.105,12,reviewed,us,us
2023-03-23T20:27:01.634Z,43.6477,-105.2956,0,3.2,ml,15,74,1.027,0.46,us,us7000jm96,2023-05-26T21:54:14.040Z,"19 km SE of Wright, Wyoming",mining explosion,5.8,1.471,0.044,68,reviewed,us,us
2023-03-22T18:24:02.135Z,43.7532,-105.3372,0,3.4,ml,18,79,1.009,0.54,us,us7000jm04,2023-05-26T21:54:12.040Z,"Wyoming",mining explosion,5.93,1.537,0.048,58,reviewed,us,us
2023-03-21T22:49:44.679Z,45.1125,-106.8951,0,2.6,ml,16,98,1.645,0.63,us,us7000jlu2,2023-05-26T21:54:11.040Z,"Eastern Montana",mining explosion,2.53,1.733,0.074,38,reviewed,us,us
2023-03-21T22:34:55.492Z,43.7151,-105.3458,0,3.2,ml,20,77,1.03,0.45,us,us7000jltx,2023-05-26T21:54:11.040Z,"12 km ESE of Wright, Wyoming",mining explosion,6.08,1.722,0.049,60,reviewed,us,us
2023-03-20T22:17:59.903Z,44.4609,-105.5981,0,2.9,ml,22,117,1.172,0.9,us,us7000jlja,2023-05-26T21:54:09.040Z,"20 km NNW of Gillette, Wyoming",mining explosion,5.25,1.723,0.062,38,reviewed,us,us
2023-03-20T19:03:46.599Z,43.7425,-105.38,0,3,ml,23,69,1.042,0.93,us,us7000jlhl,2023-05-26T21:54:08.040Z,"9 km E of Wright, Wyoming",mining explosion,5.38,1.744,0.06,36,reviewed,us,us
2023-03-19T21:11:36.503Z,43.5907,-105.1827,0,3.1,ml,10,128,0.985,0.47,us,us7000jlbw,2023-05-26T21:54:06.040Z,"30 km SE of Wright, Wyoming",mining explosion,3.12,1.794,0.045,64,reviewed,us,us
2023-03-19T20:01:44.337Z,44.0013,-105.5645,0,3,ml,19,92,1.108,0.52,us,us7000jlbl,2023-05-26T21:54:06.040Z,"Wyoming",mining explosion,3.01,1.604,0.048,66,reviewed,us,us
2023-03-19T17:59:30.061Z,43.6066,-105.263,0,2.5,ml,13,154,1.026,0.54,us,us7000jmfk,2023-05-26T21:54:16.040Z,"24 km SE of Wright, Wyoming",mining explosion,5.7,1.668,0.081,20,reviewed,us,us
2023-03-18T18:02:30.835Z,43.7717,-105.3636,0,3,ml,20,80,1.021,0.81,us,us7000jl4e,2023-05-20T23:20:38.040Z,"10 km ENE of Wright, Wyoming",mining explosion,6.19,1.746,0.044,68,reviewed,us,us
2023-03-16T21:42:28.975Z,41.7395,-108.6358,0,3,ml,18,92,0.966,0.92,us,us7000jklz,2023-05-20T23:20:30.040Z,"14 km ENE of Point of Rocks, Wyoming",mining explosion,2.46,1.185,0.034,114,reviewed,us,us
2023-03-15T20:05:57.001Z,43.8826,-105.2993,0,3.2,ml,15,87,0.942,0.66,us,us7000jk7y,2023-05-20T23:20:27.040Z,"Wyoming",mining explosion,3.56,1.523,0.049,54,reviewed,us,us
2023-03-13T22:41:06.853Z,43.5112,-105.4006,0,2.6,ml,8,124,1.161,0.31,us,us7000jkvx,2023-05-20T23:20:34.040Z,"27 km SSE of Wright, Wyoming",mining explosion,4.43,1.805,0.074,26,reviewed,us,us
2023-03-12T22:48:13.749Z,44.2936,-105.5711,0,2.7,ml,8,156,1.117,1.88,us,us7000jjey,2023-05-20T23:20:18.040Z,"5 km W of Gillette, Wyoming",mining explosion,4.59,1.798,0.097,14,reviewed,us,us
2023-03-12T20:01:17.261Z,43.8683,-105.2247,0,3.2,ml,15,111,0.894,0.5,us,us7000jjdp,2023-05-20T23:20:18.040Z,"25 km ENE of Wright, Wyoming",mining explosion,7.25,1.701,0.048,66,reviewed,us,us
2023-03-12T18:00:46.179Z,43.7246,-105.3131,0,3,ml,20,78,1.004,0.54,us,us7000jjcx,2023-05-20T23:20:18.040Z,"14 km ESE of Wright, Wyoming",mining explosion,4.2,1.664,0.048,68,reviewed,us,us
2023-03-11T20:29:09.610Z,43.6844,-105.2213,0,3.2,ml,15,99,0.962,0.68,us,us7000jj6v,2023-05-15T02:49:08.040Z,"23 km ESE of Wright, Wyoming",mining explosion,3.71,1.959,0.064,32,reviewed,us,us
2023-03-09T20:57:15.726Z,43.5093,-105.4116,0,2.6,ml,18,76,1.169,1.27,us,us7000jk2x,2023-05-15T02:49:41.040Z,"27 km SSE of Wright, Wyoming",mining explosion,4.92,1.776,0.064,32,reviewed,us,us
2023-03-07T22:09:41.128Z,43.6481,-105.3436,0,2.7,ml,6,126,1.057,0.34,us,us7000jjkp,2023-05-15T02:50:12.040Z,"16 km SE of Wright, Wyoming",mining explosion,5.46,1.725,0.074,26,reviewed,us,us
2023-03-07T21:50:38.300Z,37.0015,-119.817,-0.39,2.6,mh,12,131,0.08798,0.18,nc,nc73854040,2023-03-07T23:56:33.673Z,"5km ENE of Bonadelle Ranchos-Madera Ranchos, CA",quarry blast,0.92,31.61,,0,reviewed,nc,nc
2023-03-07T18:56:22.546Z,43.8503,-105.3244,0,3.2,ml,34,39,0.969,0.47,us,us7000jhyf,2023-05-15T02:50:15.040Z,"17 km NE of Wright, Wyoming",mining explosion,2.17,1.75,0.044,68,reviewed,us,us
